Statistic Label,Year,County,Species,Forest Owner,UNIT,VALUE
Afforestation Area,2007,Co. Monaghan,Conifer,Public Sector,Hectares,
Afforestation Area,2007,Co. Offaly,Total Afforestation,Total Afforestation,Hectares,135.0
Afforestation Area,2007,Co. Offaly,Total Afforestation,Farmer,Hectares,134.0
Afforestation Area,2007,Co. Offaly,Total Afforestation,Non-Farmer,Hectares,2.0
Afforestation Area,2007,Co. Offaly,Total Afforestation,Public Sector,Hectares,
Afforestation Area,2007,Co. Offaly,Broadleaf,Total Afforestation,Hectares,21.0
Afforestation Area,2007,Co. Offaly,Broadleaf,Farmer,Hectares,20.0
Afforestation Area,2007,Co. Offaly,Broadleaf,Non-Farmer,Hectares,2.0
Afforestation Area,2007,Co. Offaly,Broadleaf,Public Sector,Hectares,
Afforestation Area,2007,Co. Offaly,Conifer,Total Afforestation,Hectares,114.0
Afforestation Area,2007,Co. Offaly,Conifer,Farmer,Hectares,114.0
Afforestation Area,2007,Co. Offaly,Conifer,Non-Farmer,Hectares,
Afforestation Area,2007,Co. Offaly,Conifer,Public Sector,Hectares,
Afforestation Area,2007,Co. Roscommon,Total Afforestation,Total Afforestation,Hectares,309.0
Afforestation Area,2007,Co. Roscommon,Total Afforestation,Farmer,Hectares,276.0
Afforestation Area,2007,Co. Roscommon,Total Afforestation,Non-Farmer,Hectares,33.0
Afforestation Area,2007,Co. Roscommon,Total Afforestation,Public Sector,Hectares,
Afforestation Area,2007,Co. Roscommon,Broadleaf,Total Afforestation,Hectares,64.0
Afforestation Area,2007,Co. Roscommon,Broadleaf,Farmer,Hectares,59.0
Afforestation Area,2007,Co. Roscommon,Broadleaf,Non-Farmer,Hectares,5.0
Afforestation Area,2007,Co. Roscommon,Broadleaf,Public Sector,Hectares,
Afforestation Area,2007,Co. Roscommon,Conifer,Total Afforestation,Hectares,245.0
Afforestation Area,2007,Co. Roscommon,Conifer,Farmer,Hectares,217.0
Afforestation Area,2007,Co. Roscommon,Conifer,Non-Farmer,Hectares,28.0
Afforestation Area,2007,Co. Roscommon,Conifer,Public Sector,Hectares,
Afforestation Area,2007,Co. Sligo,Total Afforestation,Total Afforestation,Hectares,205.0
Afforestation Area,2007,Co. Sligo,Total Afforestation,Farmer,Hectares,184.0
Afforestation Area,2007,Co. Sligo,Total Afforestation,Non-Farmer,Hectares,21.0
Afforestation Area,2007,Co. Sligo,Total Afforestation,Public Sector,Hectares,
